,emoji,synsets,synsets_names
1039,🧑‍🍳,"[""6006-N"", ""147534-N""]","[""ПОВАР"", ""ПРОФЕССИОНАЛЬНЫЙ ПОВАР""]"
1040,🧑🏻‍🍳,"[""107646-N"", ""147534-N"", ""6006-N"", ""107237-N"", ""138572-N"", ""143901-N""]","[""ИСТОЧНИК ОСВЕЩЕНИЯ"", ""ПРОФЕССИОНАЛЬНЫЙ ПОВАР"", ""ПОВАР"", ""СВЕТ (ЛУЧИСТАЯ ЭНЕРГИЯ)"", ""СВЕТ ГЛАЗ"", ""ВЫСШИЙ СВЕТ""]"
1041,🧑🏼‍🍳,"[""6006-N"", ""147534-N""]","[""ПОВАР"", ""ПРОФЕССИОНАЛЬНЫЙ ПОВАР""]"
1042,🧑🏽‍🍳,"[""118389-A"", ""150714-A"", ""147534-N"", ""118913-A"", ""6006-N""]","[""ПОСРЕДСТВЕННЫЙ, СРЕДНИЙ"", ""СРЕДНИЙ ПО СВОЙСТВАМ, ПРИЗНАКАМ"", ""ПРОФЕССИОНАЛЬНЫЙ ПОВАР"", ""СРЕДНИЙ, НАХОДЯЩИЙСЯ В СЕРЕДИНЕ"", ""ПОВАР""]"
1043,🧑🏾‍🍳,"[""6006-N"", ""147534-N""]","[""ПОВАР"", ""ПРОФЕССИОНАЛЬНЫЙ ПОВАР""]"
1044,🧑🏿‍🍳,"[""114855-N"", ""6006-N"", ""147534-N""]","[""МРАК, ТЬМА"", ""ПОВАР"", ""ПРОФЕССИОНАЛЬНЫЙ ПОВАР""]"
1045,👨‍🍳,"[""147534-N"", ""153536-N"", ""6006-N"", ""2149-N"", ""138575-N"", ""2453-N"", ""140768-N""]","[""ПРОФЕССИОНАЛЬНЫЙ ПОВАР"", ""ВЗРОСЛЫЙ МУЖЧИНА"", ""ПОВАР"", ""ЧЕЛОВЕК"", ""НАСТОЯЩИЙ МУЖЧИНА"", ""МУЖЧИНА, ЧЕЛОВЕК МУЖСКОГО ПОЛА"", ""ШЕФ-ПОВАР""]"
1046,👨🏻‍🍳,"[""107646-N"", ""147534-N"", ""6006-N"", ""2149-N"", ""107237-N"", ""138572-N"", ""143901-N""]","[""ИСТОЧНИК ОСВЕЩЕНИЯ"", ""ПРОФЕССИОНАЛЬНЫЙ ПОВАР"", ""ПОВАР"", ""ЧЕЛОВЕК"", ""СВЕТ (ЛУЧИСТАЯ ЭНЕРГИЯ)"", ""СВЕТ ГЛАЗ"", ""ВЫСШИЙ СВЕТ""]"
1047,👨🏼‍🍳,"[""6006-N"", ""2149-N"", ""147534-N""]","[""ПОВАР"", ""ЧЕЛОВЕК"", ""ПРОФЕССИОНАЛЬНЫЙ ПОВАР""]"
1048,👨🏽‍🍳,"[""118389-A"", ""150714-A"", ""147534-N"", ""118913-A"", ""6006-N"", ""2149-N""]","[""ПОСРЕДСТВЕННЫЙ, СРЕДНИЙ"", ""СРЕДНИЙ ПО СВОЙСТВАМ, ПРИЗНАКАМ"", ""ПРОФЕССИОНАЛЬНЫЙ ПОВАР"", ""СРЕДНИЙ, НАХОДЯЩИЙСЯ В СЕРЕДИНЕ"", ""ПОВАР"", ""ЧЕЛОВЕК""]"
1049,👨🏾‍🍳,"[""6006-N"", ""2149-N"", ""147534-N""]","[""ПОВАР"", ""ЧЕЛОВЕК"", ""ПРОФЕССИОНАЛЬНЫЙ ПОВАР""]"
1050,👨🏿‍🍳,"[""114855-N"", ""147534-N"", ""6006-N"", ""2149-N""]","[""МРАК, ТЬМА"", ""ПРОФЕССИОНАЛЬНЫЙ ПОВАР"", ""ПОВАР"", ""ЧЕЛОВЕК""]"
1051,👩‍🍳,"[""132890-N"", ""147534-N"", ""6006-N"", ""756-N"", ""140768-N""]","[""ВЗРОСЛАЯ ЖЕНЩИНА"", ""ПРОФЕССИОНАЛЬНЫЙ ПОВАР"", ""ПОВАР"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА"", ""ШЕФ-ПОВАР""]"
1052,👩🏻‍🍳,"[""107646-N"", ""132890-N"", ""147534-N"", ""6006-N"", ""107237-N"", ""138572-N"", ""143901-N"", ""756-N""]","[""ИСТОЧНИК ОСВЕЩЕНИЯ"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""ПРОФЕССИОНАЛЬНЫЙ ПОВАР"", ""ПОВАР"", ""СВЕТ (ЛУЧИСТАЯ ЭНЕРГИЯ)"", ""СВЕТ ГЛАЗ"", ""ВЫСШИЙ СВЕТ"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
1053,👩🏼‍🍳,"[""6006-N"", ""756-N"", ""132890-N"", ""147534-N""]","[""ПОВАР"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""ПРОФЕССИОНАЛЬНЫЙ ПОВАР""]"
1054,👩🏽‍🍳,"[""118389-A"", ""150714-A"", ""132890-N"", ""118913-A"", ""147534-N"", ""6006-N"", ""756-N""]","[""ПОСРЕДСТВЕННЫЙ, СРЕДНИЙ"", ""СРЕДНИЙ ПО СВОЙСТВАМ, ПРИЗНАКАМ"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""СРЕДНИЙ, НАХОДЯЩИЙСЯ В СЕРЕДИНЕ"", ""ПРОФЕССИОНАЛЬНЫЙ ПОВАР"", ""ПОВАР"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
1055,👩🏾‍🍳,"[""132890-N"", ""147534-N"", ""6006-N"", ""756-N""]","[""ВЗРОСЛАЯ ЖЕНЩИНА"", ""ПРОФЕССИОНАЛЬНЫЙ ПОВАР"", ""ПОВАР"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
1056,👩🏿‍🍳,"[""114855-N"", ""132890-N"", ""147534-N"", ""6006-N"", ""756-N""]","[""МРАК, ТЬМА"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""ПРОФЕССИОНАЛЬНЫЙ ПОВАР"", ""ПОВАР"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
1057,🧑‍🔧,"[""143902-N"", ""7853-N"", ""110149-N""]","[""УЧЕНЫЙ-МЕХАНИК"", ""МЕХАНИКА"", ""МЕХАНИК (РАБОТНИК)""]"
1058,🧑🏻‍🔧,"[""107646-N"", ""110149-N"", ""7853-N"", ""107237-N"", ""138572-N"", ""143901-N"", ""143902-N""]","[""ИСТОЧНИК ОСВЕЩЕНИЯ"", ""МЕХАНИК (РАБОТНИК)"", ""МЕХАНИКА"", ""СВЕТ (ЛУЧИСТАЯ ЭНЕРГИЯ)"", ""СВЕТ ГЛАЗ"", ""ВЫСШИЙ СВЕТ"", ""УЧЕНЫЙ-МЕХАНИК""]"
1059,🧑🏼‍🔧,"[""143902-N"", ""7853-N"", ""110149-N""]","[""УЧЕНЫЙ-МЕХАНИК"", ""МЕХАНИКА"", ""МЕХАНИК (РАБОТНИК)""]"
1060,🧑🏽‍🔧,"[""118389-A"", ""110149-N"", ""150714-A"", ""118913-A"", ""7853-N"", ""143902-N""]","[""ПОСРЕДСТВЕННЫЙ, СРЕДНИЙ"", ""МЕХАНИК (РАБОТНИК)"", ""СРЕДНИЙ ПО СВОЙСТВАМ, ПРИЗНАКАМ"", ""СРЕДНИЙ, НАХОДЯЩИЙСЯ В СЕРЕДИНЕ"", ""МЕХАНИКА"", ""УЧЕНЫЙ-МЕХАНИК""]"
1061,🧑🏾‍🔧,"[""143902-N"", ""7853-N"", ""110149-N""]","[""УЧЕНЫЙ-МЕХАНИК"", ""МЕХАНИКА"", ""МЕХАНИК (РАБОТНИК)""]"
1062,🧑🏿‍🔧,"[""114855-N"", ""110149-N"", ""7853-N"", ""143902-N""]","[""МРАК, ТЬМА"", ""МЕХАНИК (РАБОТНИК)"", ""МЕХАНИКА"", ""УЧЕНЫЙ-МЕХАНИК""]"
1063,👨‍🔧,"[""110149-N"", ""7853-N"", ""2149-N"", ""143902-N""]","[""МЕХАНИК (РАБОТНИК)"", ""МЕХАНИКА"", ""ЧЕЛОВЕК"", ""УЧЕНЫЙ-МЕХАНИК""]"
1064,👨🏻‍🔧,"[""107646-N"", ""110149-N"", ""7853-N"", ""2149-N"", ""107237-N"", ""138572-N"", ""143901-N"", ""143902-N""]","[""ИСТОЧНИК ОСВЕЩЕНИЯ"", ""МЕХАНИК (РАБОТНИК)"", ""МЕХАНИКА"", ""ЧЕЛОВЕК"", ""СВЕТ (ЛУЧИСТАЯ ЭНЕРГИЯ)"", ""СВЕТ ГЛАЗ"", ""ВЫСШИЙ СВЕТ"", ""УЧЕНЫЙ-МЕХАНИК""]"
1065,👨🏼‍🔧,"[""110149-N"", ""7853-N"", ""2149-N"", ""143902-N""]","[""МЕХАНИК (РАБОТНИК)"", ""МЕХАНИКА"", ""ЧЕЛОВЕК"", ""УЧЕНЫЙ-МЕХАНИК""]"
1066,👨🏽‍🔧,"[""118389-A"", ""110149-N"", ""150714-A"", ""118913-A"", ""7853-N"", ""2149-N"", ""143902-N""]","[""ПОСРЕДСТВЕННЫЙ, СРЕДНИЙ"", ""МЕХАНИК (РАБОТНИК)"", ""СРЕДНИЙ ПО СВОЙСТВАМ, ПРИЗНАКАМ"", ""СРЕДНИЙ, НАХОДЯЩИЙСЯ В СЕРЕДИНЕ"", ""МЕХАНИКА"", ""ЧЕЛОВЕК"", ""УЧЕНЫЙ-МЕХАНИК""]"
1067,👨🏾‍🔧,"[""110149-N"", ""7853-N"", ""2149-N"", ""143902-N""]","[""МЕХАНИК (РАБОТНИК)"", ""МЕХАНИКА"", ""ЧЕЛОВЕК"", ""УЧЕНЫЙ-МЕХАНИК""]"
1068,👨🏿‍🔧,"[""114855-N"", ""110149-N"", ""7853-N"", ""2149-N"", ""143902-N""]","[""МРАК, ТЬМА"", ""МЕХАНИК (РАБОТНИК)"", ""МЕХАНИКА"", ""ЧЕЛОВЕК"", ""УЧЕНЫЙ-МЕХАНИК""]"
1069,👩‍🔧,"[""132890-N"", ""110149-N"", ""7853-N"", ""756-N"", ""143902-N""]","[""ВЗРОСЛАЯ ЖЕНЩИНА"", ""МЕХАНИК (РАБОТНИК)"", ""МЕХАНИКА"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА"", ""УЧЕНЫЙ-МЕХАНИК""]"
1070,👩🏻‍🔧,"[""107646-N"", ""132890-N"", ""110149-N"", ""7853-N"", ""107237-N"", ""138572-N"", ""143901-N"", ""756-N"", ""143902-N""]","[""ИСТОЧНИК ОСВЕЩЕНИЯ"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""МЕХАНИК (РАБОТНИК)"", ""МЕХАНИКА"", ""СВЕТ (ЛУЧИСТАЯ ЭНЕРГИЯ)"", ""СВЕТ ГЛАЗ"", ""ВЫСШИЙ СВЕТ"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА"", ""УЧЕНЫЙ-МЕХАНИК""]"
1071,👩🏼‍🔧,"[""132890-N"", ""110149-N"", ""7853-N"", ""756-N"", ""143902-N""]","[""ВЗРОСЛАЯ ЖЕНЩИНА"", ""МЕХАНИК (РАБОТНИК)"", ""МЕХАНИКА"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА"", ""УЧЕНЫЙ-МЕХАНИК""]"
1072,👩🏽‍🔧,"[""143902-N"", ""118389-A"", ""150714-A"", ""132890-N"", ""118913-A"", ""7853-N"", ""756-N"", ""110149-N""]","[""УЧЕНЫЙ-МЕХАНИК"", ""ПОСРЕДСТВЕННЫЙ, СРЕДНИЙ"", ""СРЕДНИЙ ПО СВОЙСТВАМ, ПРИЗНАКАМ"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""СРЕДНИЙ, НАХОДЯЩИЙСЯ В СЕРЕДИНЕ"", ""МЕХАНИКА"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА"", ""МЕХАНИК (РАБОТНИК)""]"
1073,👩🏾‍🔧,"[""132890-N"", ""110149-N"", ""7853-N"", ""756-N"", ""143902-N""]","[""ВЗРОСЛАЯ ЖЕНЩИНА"", ""МЕХАНИК (РАБОТНИК)"", ""МЕХАНИКА"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА"", ""УЧЕНЫЙ-МЕХАНИК""]"
1074,👩🏿‍🔧,"[""114855-N"", ""132890-N"", ""110149-N"", ""7853-N"", ""756-N"", ""143902-N""]","[""МРАК, ТЬМА"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""МЕХАНИК (РАБОТНИК)"", ""МЕХАНИКА"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА"", ""УЧЕНЫЙ-МЕХАНИК""]"
1075,🧑‍🏭,"[""2550-N"", ""6305-N""]","[""РАБОТНИК"", ""ПРЕДПРИЯТИЕ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ""]"
1076,🧑🏻‍🏭,"[""107646-N"", ""6305-N"", ""107237-N"", ""138572-N"", ""143901-N"", ""2550-N""]","[""ИСТОЧНИК ОСВЕЩЕНИЯ"", ""ПРЕДПРИЯТИЕ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ"", ""СВЕТ (ЛУЧИСТАЯ ЭНЕРГИЯ)"", ""СВЕТ ГЛАЗ"", ""ВЫСШИЙ СВЕТ"", ""РАБОТНИК""]"
1077,🧑🏼‍🏭,"[""2550-N"", ""6305-N""]","[""РАБОТНИК"", ""ПРЕДПРИЯТИЕ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ""]"
1078,🧑🏽‍🏭,"[""118389-A"", ""6305-N"", ""150714-A"", ""118913-A"", ""2550-N""]","[""ПОСРЕДСТВЕННЫЙ, СРЕДНИЙ"", ""ПРЕДПРИЯТИЕ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ"", ""СРЕДНИЙ ПО СВОЙСТВАМ, ПРИЗНАКАМ"", ""СРЕДНИЙ, НАХОДЯЩИЙСЯ В СЕРЕДИНЕ"", ""РАБОТНИК""]"
1079,🧑🏾‍🏭,"[""2550-N"", ""6305-N""]","[""РАБОТНИК"", ""ПРЕДПРИЯТИЕ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ""]"
1080,🧑🏿‍🏭,"[""114855-N"", ""2550-N"", ""6305-N""]","[""МРАК, ТЬМА"", ""РАБОТНИК"", ""ПРЕДПРИЯТИЕ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ""]"
1081,👨‍🏭,"[""2550-N"", ""2149-N"", ""6305-N""]","[""РАБОТНИК"", ""ЧЕЛОВЕК"", ""ПРЕДПРИЯТИЕ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ""]"
1082,👨🏻‍🏭,"[""107646-N"", ""6305-N"", ""2149-N"", ""107237-N"", ""138572-N"", ""143901-N"", ""2550-N""]","[""ИСТОЧНИК ОСВЕЩЕНИЯ"", ""ПРЕДПРИЯТИЕ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ"", ""ЧЕЛОВЕК"", ""СВЕТ (ЛУЧИСТАЯ ЭНЕРГИЯ)"", ""СВЕТ ГЛАЗ"", ""ВЫСШИЙ СВЕТ"", ""РАБОТНИК""]"
1083,👨🏼‍🏭,"[""2550-N"", ""2149-N"", ""6305-N""]","[""РАБОТНИК"", ""ЧЕЛОВЕК"", ""ПРЕДПРИЯТИЕ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ""]"
1084,👨🏽‍🏭,"[""118389-A"", ""6305-N"", ""150714-A"", ""118913-A"", ""2550-N"", ""2149-N""]","[""ПОСРЕДСТВЕННЫЙ, СРЕДНИЙ"", ""ПРЕДПРИЯТИЕ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ"", ""СРЕДНИЙ ПО СВОЙСТВАМ, ПРИЗНАКАМ"", ""СРЕДНИЙ, НАХОДЯЩИЙСЯ В СЕРЕДИНЕ"", ""РАБОТНИК"", ""ЧЕЛОВЕК""]"
1085,👨🏾‍🏭,"[""2550-N"", ""2149-N"", ""6305-N""]","[""РАБОТНИК"", ""ЧЕЛОВЕК"", ""ПРЕДПРИЯТИЕ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ""]"
1086,👨🏿‍🏭,"[""114855-N"", ""6305-N"", ""2550-N"", ""2149-N""]","[""МРАК, ТЬМА"", ""ПРЕДПРИЯТИЕ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ"", ""РАБОТНИК"", ""ЧЕЛОВЕК""]"
1087,👩‍🏭,"[""2550-N"", ""756-N"", ""132890-N"", ""6305-N""]","[""РАБОТНИК"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""ПРЕДПРИЯТИЕ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ""]"
1088,👩🏻‍🏭,"[""107646-N"", ""132890-N"", ""6305-N"", ""107237-N"", ""138572-N"", ""143901-N"", ""2550-N"", ""756-N""]","[""ИСТОЧНИК ОСВЕЩЕНИЯ"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""ПРЕДПРИЯТИЕ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ"", ""СВЕТ (ЛУЧИСТАЯ ЭНЕРГИЯ)"", ""СВЕТ ГЛАЗ"", ""ВЫСШИЙ СВЕТ"", ""РАБОТНИК"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
1089,👩🏼‍🏭,"[""2550-N"", ""756-N"", ""132890-N"", ""6305-N""]","[""РАБОТНИК"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""ПРЕДПРИЯТИЕ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ""]"
1090,👩🏽‍🏭,"[""118389-A"", ""6305-N"", ""150714-A"", ""118913-A"", ""132890-N"", ""2550-N"", ""756-N""]","[""ПОСРЕДСТВЕННЫЙ, СРЕДНИЙ"", ""ПРЕДПРИЯТИЕ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ"", ""СРЕДНИЙ ПО СВОЙСТВАМ, ПРИЗНАКАМ"", ""СРЕДНИЙ, НАХОДЯЩИЙСЯ В СЕРЕДИНЕ"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""РАБОТНИК"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
1091,👩🏾‍🏭,"[""2550-N"", ""756-N"", ""132890-N"", ""6305-N""]","[""РАБОТНИК"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""ПРЕДПРИЯТИЕ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ""]"
1092,👩🏿‍🏭,"[""114855-N"", ""132890-N"", ""6305-N"", ""2550-N"", ""756-N""]","[""МРАК, ТЬМА"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""ПРЕДПРИЯТИЕ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ"", ""РАБОТНИК"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
1093,🧑‍💼,"[""2550-N"", ""140569-N""]","[""РАБОТНИК"", ""ОФИС""]"
1094,🧑🏻‍💼,"[""107646-N"", ""140569-N"", ""107237-N"", ""138572-N"", ""143901-N"", ""2550-N""]","[""ИСТОЧНИК ОСВЕЩЕНИЯ"", ""ОФИС"", ""СВЕТ (ЛУЧИСТАЯ ЭНЕРГИЯ)"", ""СВЕТ ГЛАЗ"", ""ВЫСШИЙ СВЕТ"", ""РАБОТНИК""]"
1095,🧑🏼‍💼,"[""2550-N"", ""140569-N""]","[""РАБОТНИК"", ""ОФИС""]"
1096,🧑🏽‍💼,"[""118389-A"", ""150714-A"", ""118913-A"", ""2550-N"", ""140569-N""]","[""ПОСРЕДСТВЕННЫЙ, СРЕДНИЙ"", ""СРЕДНИЙ ПО СВОЙСТВАМ, ПРИЗНАКАМ"", ""СРЕДНИЙ, НАХОДЯЩИЙСЯ В СЕРЕДИНЕ"", ""РАБОТНИК"", ""ОФИС""]"
1097,🧑🏾‍💼,"[""2550-N"", ""140569-N""]","[""РАБОТНИК"", ""ОФИС""]"
1098,🧑🏿‍💼,"[""114855-N"", ""2550-N"", ""140569-N""]","[""МРАК, ТЬМА"", ""РАБОТНИК"", ""ОФИС""]"
1099,👨‍💼,"[""2717-N"", ""2550-N"", ""2149-N"", ""140569-N""]","[""ПРЕДПРИНИМАТЕЛЬ"", ""РАБОТНИК"", ""ЧЕЛОВЕК"", ""ОФИС""]"
1100,👨🏻‍💼,"[""107646-N"", ""2149-N"", ""140569-N"", ""107237-N"", ""138572-N"", ""143901-N"", ""2550-N""]","[""ИСТОЧНИК ОСВЕЩЕНИЯ"", ""ЧЕЛОВЕК"", ""ОФИС"", ""СВЕТ (ЛУЧИСТАЯ ЭНЕРГИЯ)"", ""СВЕТ ГЛАЗ"", ""ВЫСШИЙ СВЕТ"", ""РАБОТНИК""]"
1101,👨🏼‍💼,"[""2550-N"", ""2149-N"", ""140569-N""]","[""РАБОТНИК"", ""ЧЕЛОВЕК"", ""ОФИС""]"
1102,👨🏽‍💼,"[""118389-A"", ""150714-A"", ""118913-A"", ""2550-N"", ""2149-N"", ""140569-N""]","[""ПОСРЕДСТВЕННЫЙ, СРЕДНИЙ"", ""СРЕДНИЙ ПО СВОЙСТВАМ, ПРИЗНАКАМ"", ""СРЕДНИЙ, НАХОДЯЩИЙСЯ В СЕРЕДИНЕ"", ""РАБОТНИК"", ""ЧЕЛОВЕК"", ""ОФИС""]"
1103,👨🏾‍💼,"[""2550-N"", ""2149-N"", ""140569-N""]","[""РАБОТНИК"", ""ЧЕЛОВЕК"", ""ОФИС""]"
1104,👨🏿‍💼,"[""114855-N"", ""2550-N"", ""2149-N"", ""140569-N""]","[""МРАК, ТЬМА"", ""РАБОТНИК"", ""ЧЕЛОВЕК"", ""ОФИС""]"
1105,👩‍💼,"[""2717-N"", ""132890-N"", ""2550-N"", ""756-N"", ""140569-N""]","[""ПРЕДПРИНИМАТЕЛЬ"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""РАБОТНИК"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА"", ""ОФИС""]"
1106,👩🏻‍💼,"[""107646-N"", ""132890-N"", ""140569-N"", ""107237-N"", ""138572-N"", ""143901-N"", ""2550-N"", ""756-N""]","[""ИСТОЧНИК ОСВЕЩЕНИЯ"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""ОФИС"", ""СВЕТ (ЛУЧИСТАЯ ЭНЕРГИЯ)"", ""СВЕТ ГЛАЗ"", ""ВЫСШИЙ СВЕТ"", ""РАБОТНИК"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
1107,👩🏼‍💼,"[""132890-N"", ""2550-N"", ""756-N"", ""140569-N""]","[""ВЗРОСЛАЯ ЖЕНЩИНА"", ""РАБОТНИК"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА"", ""ОФИС""]"
1108,👩🏽‍💼,"[""118389-A"", ""150714-A"", ""132890-N"", ""118913-A"", ""2550-N"", ""756-N"", ""140569-N""]","[""ПОСРЕДСТВЕННЫЙ, СРЕДНИЙ"", ""СРЕДНИЙ ПО СВОЙСТВАМ, ПРИЗНАКАМ"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""СРЕДНИЙ, НАХОДЯЩИЙСЯ В СЕРЕДИНЕ"", ""РАБОТНИК"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА"", ""ОФИС""]"
1109,👩🏾‍💼,"[""132890-N"", ""2550-N"", ""756-N"", ""140569-N""]","[""ВЗРОСЛАЯ ЖЕНЩИНА"", ""РАБОТНИК"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА"", ""ОФИС""]"
1110,👩🏿‍💼,"[""114855-N"", ""132890-N"", ""2550-N"", ""756-N"", ""140569-N""]","[""МРАК, ТЬМА"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""РАБОТНИК"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА"", ""ОФИС""]"
1111,🧑‍🔬,[],[]
1112,🧑🏻‍🔬,"[""138572-N"", ""143901-N"", ""107646-N"", ""107237-N""]","[""СВЕТ ГЛАЗ"", ""ВЫСШИЙ СВЕТ"", ""ИСТОЧНИК ОСВЕЩЕНИЯ"", ""СВЕТ (ЛУЧИСТАЯ ЭНЕРГИЯ)""]"
1113,🧑🏼‍🔬,[],[]
1114,🧑🏽‍🔬,"[""118913-A"", ""118389-A"", ""150714-A""]","[""СРЕДНИЙ, НАХОДЯЩИЙСЯ В СЕРЕДИНЕ"", ""ПОСРЕДСТВЕННЫЙ, СРЕДНИЙ"", ""СРЕДНИЙ ПО СВОЙСТВАМ, ПРИЗНАКАМ""]"
1115,🧑🏾‍🔬,[],[]
1116,🧑🏿‍🔬,"[""114855-N""]","[""МРАК, ТЬМА""]"
1117,👨‍🔬,"[""2149-N""]","[""ЧЕЛОВЕК""]"
1118,👨🏻‍🔬,"[""107646-N"", ""2149-N"", ""107237-N"", ""138572-N"", ""143901-N""]","[""ИСТОЧНИК ОСВЕЩЕНИЯ"", ""ЧЕЛОВЕК"", ""СВЕТ (ЛУЧИСТАЯ ЭНЕРГИЯ)"", ""СВЕТ ГЛАЗ"", ""ВЫСШИЙ СВЕТ""]"
1119,👨🏼‍🔬,"[""2149-N""]","[""ЧЕЛОВЕК""]"
1120,👨🏽‍🔬,"[""118389-A"", ""150714-A"", ""118913-A"", ""2149-N""]","[""ПОСРЕДСТВЕННЫЙ, СРЕДНИЙ"", ""СРЕДНИЙ ПО СВОЙСТВАМ, ПРИЗНАКАМ"", ""СРЕДНИЙ, НАХОДЯЩИЙСЯ В СЕРЕДИНЕ"", ""ЧЕЛОВЕК""]"
1121,👨🏾‍🔬,"[""2149-N""]","[""ЧЕЛОВЕК""]"
1122,👨🏿‍🔬,"[""114855-N"", ""2149-N""]","[""МРАК, ТЬМА"", ""ЧЕЛОВЕК""]"
1123,👩‍🔬,"[""756-N"", ""132890-N""]","[""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА"", ""ВЗРОСЛАЯ ЖЕНЩИНА""]"
1124,👩🏻‍🔬,"[""107646-N"", ""132890-N"", ""107237-N"", ""138572-N"", ""143901-N"", ""756-N""]","[""ИСТОЧНИК ОСВЕЩЕНИЯ"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""СВЕТ (ЛУЧИСТАЯ ЭНЕРГИЯ)"", ""СВЕТ ГЛАЗ"", ""ВЫСШИЙ СВЕТ"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
1125,👩🏼‍🔬,"[""756-N"", ""132890-N""]","[""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА"", ""ВЗРОСЛАЯ ЖЕНЩИНА""]"
