,emoji,synsets,synsets_names
10,😉,"[""115580-V"", ""106958-N"", ""148624-N"", ""110629-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""132174-N"", ""106959-V""]","[""ПРЕОДОЛЕТЬ"", ""ПОБЕДА (УСПЕХ)"", ""ПОБЕДА В СОРЕВНОВАНИИ"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ПОБЕДА В ВОЙНЕ"", ""ВЫИГРАТЬ, ОДЕРЖАТЬ ВЕРХ""]"
11,😊,"[""112039-N"", ""119891-A"", ""110629-N"", ""2149-N"", ""106917-N"", ""123943-N"", ""107733-N""]","[""УЛЫБКА"", ""СЧАСТЛИВЫЙ (ПОЛНЫЙ СЧАСТЬЯ)"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ГЛАЗ"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА""]"
12,😇,"[""112039-N"", ""110629-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""110978-N"", ""152781-N""]","[""УЛЫБКА"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""АНГЕЛ (СЛУЖИТЕЛЬ БОГА)"", ""АНГЕЛ (ЧЕЛОВЕК ПО ХАРАКТЕРУ)""]"
13,🥰,"[""112039-N"", ""110629-N"", ""109908-N"", ""115711-N"", ""2149-N"", ""123943-N"", ""106652-N"", ""112995-N"", ""107733-N"", ""120992-N""]","[""УЛЫБКА"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""СЕРДЦЕ (ОРГАН КРОВЕНОСНОЙ СИСТЕМЫ)"", ""ЛЮБОВЬ (ПРИВЯЗАННОСТЬ)"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛЮБОВЬ, СЕРДЕЧНОЕ ВЛЕЧЕНИЕ"", ""СКЛОННОСТЬ (ПОСТОЯННОЕ ВЛЕЧЕНИЕ)"", ""ЛИЦО ЧЕЛОВЕКА"", ""СЕРДЦЕ (СИМВОЛИЧЕСКОЕ ИЗОБРАЖЕНИЕ)""]"
14,😍,"[""112039-N"", ""110629-N"", ""109908-N"", ""2149-N"", ""106917-N"", ""123943-N"", ""107733-N"", ""120992-N""]","[""УЛЫБКА"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""СЕРДЦЕ (ОРГАН КРОВЕНОСНОЙ СИСТЕМЫ)"", ""ЧЕЛОВЕК"", ""ГЛАЗ"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""СЕРДЦЕ (СИМВОЛИЧЕСКОЕ ИЗОБРАЖЕНИЕ)""]"
15,🤩,"[""115627-V"", ""109931-N"", ""115172-N"", ""110629-N"", ""106917-N"", ""2149-N"", ""155137-N"", ""115173-N"", ""107733-N"", ""123943-N"", ""114664-V""]","[""ВОЛНОВАТЬ, ВЫЗВАТЬ ВОЛНЫ"", ""ЗВЕЗДА (НЕБЕСНОЕ ТЕЛО)"", ""ЗВЕЗДА (ЗНАМЕНИТОСТЬ)"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ГЛАЗ"", ""ЧЕЛОВЕК"", ""ЗВЕЗДНОСТЬ ГОСТИНИЦЫ"", ""ЗВЕЗДА (ФИГУРА)"", ""ЛИЦО ЧЕЛОВЕКА"", ""ЛИЦЕВАЯ СТОРОНА"", ""ВОЛНОВАТЬ, ВЫЗЫВАТЬ ЧУВСТВО ВОЛНЕНИЯ""]"
16,😘,"[""115510-N"", ""110629-N"", ""107404-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""115509-V"", ""107407-N"", ""106550-N"", ""115663-N""]","[""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""УДАРИТЬ, НАНЕСТИ УДАР"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ЦЕЛОВАТЬ"", ""УДАР, ЗВУК ОТ УДАРА"", ""НЕСЧАСТЬЕ"", ""АТАКА, ВОЕННЫЙ УДАР""]"
17,😗,"[""115510-N"", ""110629-N"", ""145766-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""4841-N"", ""115509-V"", ""116246-N"", ""108648-N"", ""148848-N""]","[""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""УТОЧНАЯ НИТЬ"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""УТКА"", ""ЦЕЛОВАТЬ"", ""ВИСЕТЬ, ВИСЯЧЕЕ ПОЛОЖЕНИЕ"", ""УТЯТИНА"", ""ГАЗЕТНАЯ УТКА""]"
18,☺️,"[""112039-N"", ""119891-A"", ""110629-N"", ""2149-N"", ""123943-N"", ""107733-N""]","[""УЛЫБКА"", ""СЧАСТЛИВЫЙ (ПОЛНЫЙ СЧАСТЬЯ)"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА""]"
19,☺,"[""112039-N"", ""119891-A"", ""110629-N"", ""2149-N"", ""123943-N"", ""107733-N""]","[""УЛЫБКА"", ""СЧАСТЛИВЫЙ (ПОЛНЫЙ СЧАСТЬЯ)"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА""]"
20,😚,"[""108830-V"", ""115510-N"", ""110629-N"", ""106527-V"", ""2149-N"", ""106917-N"", ""149400-V"", ""123943-N"", ""107733-N"", ""115509-V"", ""120224-A"", ""111572-V"", ""151497-V"", ""142056-V"", ""122106-A"", ""108822-V""]","[""НАКРЫТЬ, ПОКРЫТЬ СВЕРХУ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЛИКВИДАЦИЯ, ПРЕКРАЩЕНИЕ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ГЛАЗ"", ""ЗАПЕРЕТЬ, ЗАКРЫТЬ НА ЗАМОК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ЦЕЛОВАТЬ"", ""ЗАКРЫТЫЙ СО ВСЕХ СТОРОН"", ""ЗАКРЫТЬ ОТВЕРСТИЕ, ПРОХОД"", ""ЗАКРЫТЬ ДОСТУП"", ""ЗАПЕРЕТЬ ВНУТРИ"", ""ЗАКРЫТЫЙ ДЛЯ ПОСТОРОННИХ"", ""ЗАКРЫТЬ, ОПУСТИТЬ КРЫШКУ""]"
21,😙,"[""112039-N"", ""110410-N"", ""115510-N"", ""110629-N"", ""2149-N"", ""106917-N"", ""148365-N"", ""108541-N"", ""123943-N"", ""115509-V"", ""107733-N"", ""116246-N""]","[""УЛЫБКА"", ""ВИСОК"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ГЛАЗ"", ""ВОЛОСЫ НА ВИСКАХ"", ""ВИСКИ"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЦЕЛОВАТЬ"", ""ЛИЦО ЧЕЛОВЕКА"", ""ВИСЕТЬ, ВИСЯЧЕЕ ПОЛОЖЕНИЕ""]"
22,🥲,"[""112039-N"", ""107196-N"", ""110629-N"", ""2149-N"", ""123943-N"", ""111674-N"", ""107733-N""]","[""УЛЫБКА"", ""ПЛАКАТЬ, ПРОЛИВАТЬ СЛЕЗЫ"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""СЛЕЗА, СЛЕЗНАЯ ЖИДКОСТЬ"", ""ЛИЦО ЧЕЛОВЕКА""]"
23,😋,"[""106934-N"", ""108890-N"", ""110629-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""119645-A""]","[""ЕСТЬ, ПРИНИМАТЬ ПИЩУ"", ""ЕДА, ПИЩА"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ГОЛОДНЫЙ (ЧУВСТВУЮЩИЙ ГОЛОД)""]"
24,😛,"[""110629-N"", ""106919-N"", ""151716-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""2798-N""]","[""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЯЗЫК (ОРГАН ВКУСА)"", ""ЯЗЫК (МЯСО)"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ЯЗЫК""]"
