,emoji,keywords
800,🧏‍♂,"{""deaf"": 30, ""man"": 1003}"
801,🧏🏻‍♂️,"{""light"": 566, ""man"": 1003, ""deaf"": 30}"
802,🧏🏻‍♂,"{""light"": 566, ""man"": 1003, ""deaf"": 30}"
803,🧏🏼‍♂️,"{""medium-light"": 561, ""man"": 1003, ""deaf"": 30}"
804,🧏🏼‍♂,"{""medium-light"": 561, ""man"": 1003, ""deaf"": 30}"
805,🧏🏽‍♂️,"{""man"": 1003, ""medium"": 566, ""deaf"": 30}"
806,🧏🏽‍♂,"{""man"": 1003, ""medium"": 566, ""deaf"": 30}"
807,🧏🏾‍♂️,"{""medium-dark"": 561, ""man"": 1003, ""deaf"": 30}"
808,🧏🏾‍♂,"{""medium-dark"": 561, ""man"": 1003, ""deaf"": 30}"
809,🧏🏿‍♂️,"{""man"": 1003, ""deaf"": 30, ""dark"": 564}"
810,🧏🏿‍♂,"{""man"": 1003, ""deaf"": 30, ""dark"": 564}"
811,🧏‍♀️,"{""deaf"": 30, ""woman"": 1012}"
812,🧏‍♀,"{""deaf"": 30, ""woman"": 1012}"
813,🧏🏻‍♀️,"{""light"": 566, ""deaf"": 30, ""woman"": 1012}"
814,🧏🏻‍♀,"{""light"": 566, ""deaf"": 30, ""woman"": 1012}"
815,🧏🏼‍♀️,"{""medium-light"": 561, ""deaf"": 30, ""woman"": 1012}"
816,🧏🏼‍♀,"{""medium-light"": 561, ""deaf"": 30, ""woman"": 1012}"
817,🧏🏽‍♀️,"{""medium"": 566, ""deaf"": 30, ""woman"": 1012}"
818,🧏🏽‍♀,"{""medium"": 566, ""deaf"": 30, ""woman"": 1012}"
819,🧏🏾‍♀️,"{""medium-dark"": 561, ""deaf"": 30, ""woman"": 1012}"
820,🧏🏾‍♀,"{""medium-dark"": 561, ""deaf"": 30, ""woman"": 1012}"
821,🧏🏿‍♀️,"{""woman"": 1012, ""deaf"": 30, ""dark"": 564}"
822,🧏🏿‍♀,"{""woman"": 1012, ""deaf"": 30, ""dark"": 564}"
823,🙇,"{""dogeza"": 1, ""person"": 386, ""massage"": 31, ""man"": 1003, ""bowing"": 30, ""boy"": 26, ""cute"": 3}"
824,🙇🏻,"{""light"": 566, ""person"": 386, ""bowing"": 30}"
825,🙇🏼,"{""medium-light"": 561, ""person"": 386, ""bowing"": 30}"
826,🙇🏽,"{""person"": 386, ""bowing"": 30, ""medium"": 566}"
827,🙇🏾,"{""person"": 386, ""medium-dark"": 561, ""bowing"": 30}"
828,🙇🏿,"{""person"": 386, ""bowing"": 30, ""dark"": 564}"
829,🙇‍♂️,"{""man"": 1003, ""bowing"": 30}"
830,🙇‍♂,"{""man"": 1003, ""bowing"": 30}"
831,🙇🏻‍♂️,"{""light"": 566, ""man"": 1003, ""bowing"": 30}"
832,🙇🏻‍♂,"{""light"": 566, ""man"": 1003, ""bowing"": 30}"
833,🙇🏼‍♂️,"{""medium-light"": 561, ""man"": 1003, ""bowing"": 30}"
834,🙇🏼‍♂,"{""medium-light"": 561, ""man"": 1003, ""bowing"": 30}"
835,🙇🏽‍♂️,"{""man"": 1003, ""bowing"": 30, ""medium"": 566}"
836,🙇🏽‍♂,"{""man"": 1003, ""bowing"": 30, ""medium"": 566}"
837,🙇🏾‍♂️,"{""medium-dark"": 561, ""man"": 1003, ""bowing"": 30}"
838,🙇🏾‍♂,"{""medium-dark"": 561, ""man"": 1003, ""bowing"": 30}"
839,🙇🏿‍♂️,"{""man"": 1003, ""bowing"": 30, ""dark"": 564}"
840,🙇🏿‍♂,"{""man"": 1003, ""bowing"": 30, ""dark"": 564}"
841,🙇‍♀️,"{""woman"": 1012, ""bowing"": 30}"
842,🙇‍♀,"{""woman"": 1012, ""bowing"": 30}"
843,🙇🏻‍♀️,"{""light"": 566, ""bowing"": 30, ""woman"": 1012}"
844,🙇🏻‍♀,"{""light"": 566, ""bowing"": 30, ""woman"": 1012}"
845,🙇🏼‍♀️,"{""medium-light"": 561, ""bowing"": 30, ""woman"": 1012}"
846,🙇🏼‍♀,"{""medium-light"": 561, ""bowing"": 30, ""woman"": 1012}"
847,🙇🏽‍♀️,"{""bowing"": 30, ""medium"": 566, ""woman"": 1012}"
848,🙇🏽‍♀,"{""bowing"": 30, ""medium"": 566, ""woman"": 1012}"
849,🙇🏾‍♀️,"{""medium-dark"": 561, ""bowing"": 30, ""woman"": 1012}"
850,🙇🏾‍♀,"{""medium-dark"": 561, ""bowing"": 30, ""woman"": 1012}"
851,🙇🏿‍♀️,"{""woman"": 1012, ""bowing"": 30, ""dark"": 564}"
852,🙇🏿‍♀,"{""woman"": 1012, ""bowing"": 30, ""dark"": 564}"
853,🤦,"{""smh"": 1, ""hitting"": 1, ""facepalming"": 30, ""person"": 386, ""facepalm"": 1, ""head"": 12, ""picard"": 1}"
854,🤦🏻,"{""light"": 566, ""person"": 386, ""facepalming"": 30}"
855,🤦🏼,"{""medium-light"": 561, ""person"": 386, ""facepalming"": 30}"
856,🤦🏽,"{""facepalming"": 30, ""person"": 386, ""medium"": 566}"
857,🤦🏾,"{""person"": 386, ""medium-dark"": 561, ""facepalming"": 30}"
858,🤦🏿,"{""person"": 386, ""facepalming"": 30, ""dark"": 564}"
859,🤦‍♂️,"{""facepalming"": 30, ""man"": 1003}"
860,🤦‍♂,"{""facepalming"": 30, ""man"": 1003}"
861,🤦🏻‍♂️,"{""light"": 566, ""man"": 1003, ""facepalming"": 30}"
862,🤦🏻‍♂,"{""light"": 566, ""man"": 1003, ""facepalming"": 30}"
863,🤦🏼‍♂️,"{""medium-light"": 561, ""man"": 1003, ""facepalming"": 30}"
864,🤦🏼‍♂,"{""medium-light"": 561, ""man"": 1003, ""facepalming"": 30}"
865,🤦🏽‍♂️,"{""facepalming"": 30, ""man"": 1003, ""medium"": 566}"
866,🤦🏽‍♂,"{""facepalming"": 30, ""man"": 1003, ""medium"": 566}"
867,🤦🏾‍♂️,"{""medium-dark"": 561, ""man"": 1003, ""facepalming"": 30}"
868,🤦🏾‍♂,"{""medium-dark"": 561, ""man"": 1003, ""facepalming"": 30}"
869,🤦🏿‍♂️,"{""man"": 1003, ""facepalming"": 30, ""dark"": 564}"
870,🤦🏿‍♂,"{""man"": 1003, ""facepalming"": 30, ""dark"": 564}"
871,🤦‍♀️,"{""facepalming"": 30, ""woman"": 1012}"
872,🤦‍♀,"{""facepalming"": 30, ""woman"": 1012}"
873,🤦🏻‍♀️,"{""light"": 566, ""facepalming"": 30, ""woman"": 1012}"
874,🤦🏻‍♀,"{""light"": 566, ""facepalming"": 30, ""woman"": 1012}"
875,🤦🏼‍♀️,"{""medium-light"": 561, ""facepalming"": 30, ""woman"": 1012}"
876,🤦🏼‍♀,"{""medium-light"": 561, ""facepalming"": 30, ""woman"": 1012}"
877,🤦🏽‍♀️,"{""facepalming"": 30, ""medium"": 566, ""woman"": 1012}"
878,🤦🏽‍♀,"{""facepalming"": 30, ""medium"": 566, ""woman"": 1012}"
879,🤦🏾‍♀️,"{""medium-dark"": 561, ""facepalming"": 30, ""woman"": 1012}"
880,🤦🏾‍♀,"{""medium-dark"": 561, ""facepalming"": 30, ""woman"": 1012}"
881,🤦🏿‍♀️,"{""woman"": 1012, ""facepalming"": 30, ""dark"": 564}"
882,🤦🏿‍♀,"{""woman"": 1012, ""facepalming"": 30, ""dark"": 564}"
883,🤷,"{""_/¯"": 1, ""ツ"": 1, ""shruggie"": 1, ""¯\\_"": 1, ""shrugging"": 30, ""person"": 386, ""shrug"": 1}"
884,🤷🏻,"{""light"": 566, ""shrugging"": 30, ""person"": 386}"
885,🤷🏼,"{""medium-light"": 561, ""shrugging"": 30, ""person"": 386}"
886,🤷🏽,"{""shrugging"": 30, ""person"": 386, ""medium"": 566}"
887,🤷🏾,"{""shrugging"": 30, ""person"": 386, ""medium-dark"": 561}"
888,🤷🏿,"{""shrugging"": 30, ""person"": 386, ""dark"": 564}"
889,🤷‍♂️,"{""man"": 1003, ""shrugging"": 30}"
890,🤷‍♂,"{""man"": 1003, ""shrugging"": 30}"
891,🤷🏻‍♂️,"{""light"": 566, ""shrugging"": 30, ""man"": 1003}"
892,🤷🏻‍♂,"{""light"": 566, ""shrugging"": 30, ""man"": 1003}"
893,🤷🏼‍♂️,"{""medium-light"": 561, ""shrugging"": 30, ""man"": 1003}"
894,🤷🏼‍♂,"{""medium-light"": 561, ""shrugging"": 30, ""man"": 1003}"
895,🤷🏽‍♂️,"{""shrugging"": 30, ""man"": 1003, ""medium"": 566}"
896,🤷🏽‍♂,"{""shrugging"": 30, ""man"": 1003, ""medium"": 566}"
897,🤷🏾‍♂️,"{""shrugging"": 30, ""medium-dark"": 561, ""man"": 1003}"
898,🤷🏾‍♂,"{""shrugging"": 30, ""medium-dark"": 561, ""man"": 1003}"
899,🤷🏿‍♂️,"{""shrugging"": 30, ""man"": 1003, ""dark"": 564}"
900,🤷🏿‍♂,"{""shrugging"": 30, ""man"": 1003, ""dark"": 564}"
901,🤷‍♀️,"{""woman"": 1012, ""shrugging"": 30}"
902,🤷‍♀,"{""woman"": 1012, ""shrugging"": 30}"
903,🤷🏻‍♀️,"{""light"": 566, ""shrugging"": 30, ""woman"": 1012}"
904,🤷🏻‍♀,"{""light"": 566, ""shrugging"": 30, ""woman"": 1012}"
905,🤷🏼‍♀️,"{""medium-light"": 561, ""shrugging"": 30, ""woman"": 1012}"
906,🤷🏼‍♀,"{""medium-light"": 561, ""shrugging"": 30, ""woman"": 1012}"
907,🤷🏽‍♀️,"{""shrugging"": 30, ""medium"": 566, ""woman"": 1012}"
908,🤷🏽‍♀,"{""shrugging"": 30, ""medium"": 566, ""woman"": 1012}"
909,🤷🏾‍♀️,"{""shrugging"": 30, ""medium-dark"": 561, ""woman"": 1012}"
910,🤷🏾‍♀,"{""shrugging"": 30, ""medium-dark"": 561, ""woman"": 1012}"
911,🤷🏿‍♀️,"{""shrugging"": 30, ""woman"": 1012, ""dark"": 564}"
912,🤷🏿‍♀,"{""shrugging"": 30, ""woman"": 1012, ""dark"": 564}"
913,🧑‍⚕️,"{""worker"": 104, ""health"": 36}"
914,🧑‍⚕,"{""worker"": 104, ""health"": 36}"
915,🧑🏻‍⚕️,"{""worker"": 104, ""light"": 566, ""health"": 36}"
916,🧑🏻‍⚕,"{""worker"": 104, ""light"": 566, ""health"": 36}"
917,🧑🏼‍⚕️,"{""worker"": 104, ""medium-light"": 561, ""health"": 36}"
918,🧑🏼‍⚕,"{""worker"": 104, ""medium-light"": 561, ""health"": 36}"
919,🧑🏽‍⚕️,"{""worker"": 104, ""medium"": 566, ""health"": 36}"
920,🧑🏽‍⚕,"{""worker"": 104, ""medium"": 566, ""health"": 36}"
921,🧑🏾‍⚕️,"{""worker"": 104, ""medium-dark"": 561, ""health"": 36}"
922,🧑🏾‍⚕,"{""worker"": 104, ""medium-dark"": 561, ""health"": 36}"
923,🧑🏿‍⚕️,"{""worker"": 104, ""health"": 36, ""dark"": 564}"
924,🧑🏿‍⚕,"{""worker"": 104, ""health"": 36, ""dark"": 564}"
925,👨‍⚕️,"{""worker"": 104, ""doctor"": 4, ""male"": 15, ""man"": 1003, ""health"": 36, ""nurse"": 4}"
926,👨‍⚕,"{""worker"": 104, ""doctor"": 4, ""male"": 15, ""man"": 1003, ""health"": 36, ""nurse"": 4}"
927,👨🏻‍⚕️,"{""worker"": 104, ""light"": 566, ""man"": 1003, ""health"": 36}"
928,👨🏻‍⚕,"{""worker"": 104, ""light"": 566, ""man"": 1003, ""health"": 36}"
929,👨🏼‍⚕️,"{""worker"": 104, ""medium-light"": 561, ""man"": 1003, ""health"": 36}"
930,👨🏼‍⚕,"{""worker"": 104, ""medium-light"": 561, ""man"": 1003, ""health"": 36}"
931,👨🏽‍⚕️,"{""worker"": 104, ""man"": 1003, ""medium"": 566, ""health"": 36}"
932,👨🏽‍⚕,"{""worker"": 104, ""man"": 1003, ""medium"": 566, ""health"": 36}"
933,👨🏾‍⚕️,"{""worker"": 104, ""medium-dark"": 561, ""man"": 1003, ""health"": 36}"
934,👨🏾‍⚕,"{""worker"": 104, ""medium-dark"": 561, ""man"": 1003, ""health"": 36}"
935,👨🏿‍⚕️,"{""worker"": 104, ""man"": 1003, ""health"": 36, ""dark"": 564}"
936,👨🏿‍⚕,"{""worker"": 104, ""man"": 1003, ""health"": 36, ""dark"": 564}"
937,👩‍⚕️,"{""worker"": 104, ""doctor"": 4, ""female"": 14, ""health"": 36, ""woman"": 1012, ""nurse"": 4}"
938,👩‍⚕,"{""worker"": 104, ""doctor"": 4, ""female"": 14, ""health"": 36, ""woman"": 1012, ""nurse"": 4}"
939,👩🏻‍⚕️,"{""worker"": 104, ""light"": 566, ""health"": 36, ""woman"": 1012}"
940,👩🏻‍⚕,"{""worker"": 104, ""light"": 566, ""health"": 36, ""woman"": 1012}"
941,👩🏼‍⚕️,"{""worker"": 104, ""medium-light"": 561, ""health"": 36, ""woman"": 1012}"
942,👩🏼‍⚕,"{""worker"": 104, ""medium-light"": 561, ""health"": 36, ""woman"": 1012}"
943,👩🏽‍⚕️,"{""worker"": 104, ""medium"": 566, ""health"": 36, ""woman"": 1012}"
944,👩🏽‍⚕,"{""worker"": 104, ""medium"": 566, ""health"": 36, ""woman"": 1012}"
945,👩🏾‍⚕️,"{""worker"": 104, ""medium-dark"": 561, ""health"": 36, ""woman"": 1012}"
946,👩🏾‍⚕,"{""worker"": 104, ""medium-dark"": 561, ""health"": 36, ""woman"": 1012}"
947,👩🏿‍⚕️,"{""worker"": 104, ""dark"": 564, ""health"": 36, ""woman"": 1012}"
948,👩🏿‍⚕,"{""worker"": 104, ""dark"": 564, ""health"": 36, ""woman"": 1012}"
949,🧑‍🎓,"{""student"": 18}"
950,🧑🏻‍🎓,"{""student"": 18, ""light"": 566}"
951,🧑🏼‍🎓,"{""student"": 18, ""medium-light"": 561}"
952,🧑🏽‍🎓,"{""student"": 18, ""medium"": 566}"
953,🧑🏾‍🎓,"{""student"": 18, ""medium-dark"": 561}"
954,🧑🏿‍🎓,"{""student"": 18, ""dark"": 564}"
955,👨‍🎓,"{""man"": 1003, ""student"": 18}"
956,👨🏻‍🎓,"{""student"": 18, ""light"": 566, ""man"": 1003}"
957,👨🏼‍🎓,"{""student"": 18, ""medium-light"": 561, ""man"": 1003}"
958,👨🏽‍🎓,"{""student"": 18, ""man"": 1003, ""medium"": 566}"
959,👨🏾‍🎓,"{""student"": 18, ""medium-dark"": 561, ""man"": 1003}"
960,👨🏿‍🎓,"{""student"": 18, ""man"": 1003, ""dark"": 564}"
961,👩‍🎓,"{""woman"": 1012, ""student"": 18}"
962,👩🏻‍🎓,"{""student"": 18, ""light"": 566, ""woman"": 1012}"
963,👩🏼‍🎓,"{""student"": 18, ""medium-light"": 561, ""woman"": 1012}"
964,👩🏽‍🎓,"{""student"": 18, ""medium"": 566, ""woman"": 1012}"
965,👩🏾‍🎓,"{""student"": 18, ""medium-dark"": 561, ""woman"": 1012}"
966,👩🏿‍🎓,"{""student"": 18, ""woman"": 1012, ""dark"": 564}"
967,🧑‍🏫,"{""teacher"": 18}"
968,🧑🏻‍🏫,"{""light"": 566, ""teacher"": 18}"
969,🧑🏼‍🏫,"{""medium-light"": 561, ""teacher"": 18}"
970,🧑🏽‍🏫,"{""medium"": 566, ""teacher"": 18}"
971,🧑🏾‍🏫,"{""medium-dark"": 561, ""teacher"": 18}"
972,🧑🏿‍🏫,"{""teacher"": 18, ""dark"": 564}"
973,👨‍🏫,"{""teacher"": 18, ""man"": 1003}"
974,👨🏻‍🏫,"{""light"": 566, ""man"": 1003, ""teacher"": 18}"
975,👨🏼‍🏫,"{""medium-light"": 561, ""man"": 1003, ""teacher"": 18}"
976,👨🏽‍🏫,"{""man"": 1003, ""medium"": 566, ""teacher"": 18}"
977,👨🏾‍🏫,"{""medium-dark"": 561, ""man"": 1003, ""teacher"": 18}"
978,👨🏿‍🏫,"{""man"": 1003, ""teacher"": 18, ""dark"": 564}"
979,👩‍🏫,"{""teacher"": 18, ""woman"": 1012}"
980,👩🏻‍🏫,"{""light"": 566, ""teacher"": 18, ""woman"": 1012}"
981,👩🏼‍🏫,"{""medium-light"": 561, ""teacher"": 18, ""woman"": 1012}"
982,👩🏽‍🏫,"{""medium"": 566, ""teacher"": 18, ""woman"": 1012}"
983,👩🏾‍🏫,"{""medium-dark"": 561, ""teacher"": 18, ""woman"": 1012}"
984,👩🏿‍🏫,"{""woman"": 1012, ""teacher"": 18, ""dark"": 564}"
985,🧑‍⚖️,"{""judge"": 36}"
986,🧑‍⚖,"{""judge"": 36}"
987,🧑🏻‍⚖️,"{""judge"": 36, ""light"": 566}"
988,🧑🏻‍⚖,"{""judge"": 36, ""light"": 566}"
989,🧑🏼‍⚖️,"{""judge"": 36, ""medium-light"": 561}"
990,🧑🏼‍⚖,"{""judge"": 36, ""medium-light"": 561}"
991,🧑🏽‍⚖️,"{""judge"": 36, ""medium"": 566}"
992,🧑🏽‍⚖,"{""judge"": 36, ""medium"": 566}"
993,🧑🏾‍⚖️,"{""judge"": 36, ""medium-dark"": 561}"
994,🧑🏾‍⚖,"{""judge"": 36, ""medium-dark"": 561}"
995,🧑🏿‍⚖️,"{""judge"": 36, ""dark"": 564}"
996,🧑🏿‍⚖,"{""judge"": 36, ""dark"": 564}"
997,👨‍⚖️,"{""judge"": 36, ""man"": 1003}"
998,👨‍⚖,"{""judge"": 36, ""man"": 1003}"
999,👨🏻‍⚖️,"{""judge"": 36, ""light"": 566, ""man"": 1003}"
1000,👨🏻‍⚖,"{""judge"": 36, ""light"": 566, ""man"": 1003}"
1001,👨🏼‍⚖️,"{""judge"": 36, ""medium-light"": 561, ""man"": 1003}"
1002,👨🏼‍⚖,"{""judge"": 36, ""medium-light"": 561, ""man"": 1003}"
1003,👨🏽‍⚖️,"{""judge"": 36, ""man"": 1003, ""medium"": 566}"
1004,👨🏽‍⚖,"{""judge"": 36, ""man"": 1003, ""medium"": 566}"
1005,👨🏾‍⚖️,"{""judge"": 36, ""medium-dark"": 561, ""man"": 1003}"
1006,👨🏾‍⚖,"{""judge"": 36, ""medium-dark"": 561, ""man"": 1003}"
1007,👨🏿‍⚖️,"{""judge"": 36, ""man"": 1003, ""dark"": 564}"
1008,👨🏿‍⚖,"{""judge"": 36, ""man"": 1003, ""dark"": 564}"
1009,👩‍⚖️,"{""judge"": 36, ""woman"": 1012}"
1010,👩‍⚖,"{""judge"": 36, ""woman"": 1012}"
1011,👩🏻‍⚖️,"{""judge"": 36, ""light"": 566, ""woman"": 1012}"
1012,👩🏻‍⚖,"{""judge"": 36, ""light"": 566, ""woman"": 1012}"
1013,👩🏼‍⚖️,"{""judge"": 36, ""medium-light"": 561, ""woman"": 1012}"
1014,👩🏼‍⚖,"{""judge"": 36, ""medium-light"": 561, ""woman"": 1012}"
1015,👩🏽‍⚖️,"{""judge"": 36, ""medium"": 566, ""woman"": 1012}"
1016,👩🏽‍⚖,"{""judge"": 36, ""medium"": 566, ""woman"": 1012}"
1017,👩🏾‍⚖️,"{""judge"": 36, ""medium-dark"": 561, ""woman"": 1012}"
1018,👩🏾‍⚖,"{""judge"": 36, ""medium-dark"": 561, ""woman"": 1012}"
1019,👩🏿‍⚖️,"{""judge"": 36, ""woman"": 1012, ""dark"": 564}"
1020,👩🏿‍⚖,"{""judge"": 36, ""woman"": 1012, ""dark"": 564}"
1021,🧑‍🌾,"{""farmer"": 18}"
1022,🧑🏻‍🌾,"{""light"": 566, ""farmer"": 18}"
1023,🧑🏼‍🌾,"{""medium-light"": 561, ""farmer"": 18}"
1024,🧑🏽‍🌾,"{""medium"": 566, ""farmer"": 18}"
1025,🧑🏾‍🌾,"{""medium-dark"": 561, ""farmer"": 18}"
1026,🧑🏿‍🌾,"{""farmer"": 18, ""dark"": 564}"
1027,👨‍🌾,"{""farmer"": 18, ""man"": 1003}"
1028,👨🏻‍🌾,"{""light"": 566, ""man"": 1003, ""farmer"": 18}"
1029,👨🏼‍🌾,"{""medium-light"": 561, ""man"": 1003, ""farmer"": 18}"
1030,👨🏽‍🌾,"{""man"": 1003, ""medium"": 566, ""farmer"": 18}"
1031,👨🏾‍🌾,"{""medium-dark"": 561, ""man"": 1003, ""farmer"": 18}"
1032,👨🏿‍🌾,"{""man"": 1003, ""farmer"": 18, ""dark"": 564}"
1033,👩‍🌾,"{""farmer"": 18, ""woman"": 1012}"
1034,👩🏻‍🌾,"{""light"": 566, ""farmer"": 18, ""woman"": 1012}"
1035,👩🏼‍🌾,"{""medium-light"": 561, ""farmer"": 18, ""woman"": 1012}"
1036,👩🏽‍🌾,"{""medium"": 566, ""farmer"": 18, ""woman"": 1012}"
1037,👩🏾‍🌾,"{""medium-dark"": 561, ""farmer"": 18, ""woman"": 1012}"
1038,👩🏿‍🌾,"{""woman"": 1012, ""farmer"": 18, ""dark"": 564}"
1039,🧑‍🍳,"{""cook"": 19}"
1040,🧑🏻‍🍳,"{""light"": 566, ""cook"": 19}"
1041,🧑🏼‍🍳,"{""medium-light"": 561, ""cook"": 19}"
1042,🧑🏽‍🍳,"{""medium"": 566, ""cook"": 19}"
1043,🧑🏾‍🍳,"{""medium-dark"": 561, ""cook"": 19}"
1044,🧑🏿‍🍳,"{""dark"": 564, ""cook"": 19}"
1045,👨‍🍳,"{""male"": 15, ""man"": 1003, ""chef"": 2, ""cook"": 19}"
1046,👨🏻‍🍳,"{""light"": 566, ""man"": 1003, ""cook"": 19}"
1047,👨🏼‍🍳,"{""medium-light"": 561, ""man"": 1003, ""cook"": 19}"
1048,👨🏽‍🍳,"{""man"": 1003, ""medium"": 566, ""cook"": 19}"
1049,👨🏾‍🍳,"{""medium-dark"": 561, ""man"": 1003, ""cook"": 19}"
1050,👨🏿‍🍳,"{""man"": 1003, ""dark"": 564, ""cook"": 19}"
1051,👩‍🍳,"{""chef"": 2, ""woman"": 1012, ""female"": 14, ""cook"": 19}"
1052,👩🏻‍🍳,"{""light"": 566, ""woman"": 1012, ""cook"": 19}"
1053,👩🏼‍🍳,"{""medium-light"": 561, ""woman"": 1012, ""cook"": 19}"
1054,👩🏽‍🍳,"{""medium"": 566, ""woman"": 1012, ""cook"": 19}"
1055,👩🏾‍🍳,"{""medium-dark"": 561, ""woman"": 1012, ""cook"": 19}"
1056,👩🏿‍🍳,"{""woman"": 1012, ""dark"": 564, ""cook"": 19}"
1057,🧑‍🔧,"{""mechanic"": 18}"
1058,🧑🏻‍🔧,"{""light"": 566, ""mechanic"": 18}"
1059,🧑🏼‍🔧,"{""medium-light"": 561, ""mechanic"": 18}"
1060,🧑🏽‍🔧,"{""mechanic"": 18, ""medium"": 566}"
1061,🧑🏾‍🔧,"{""medium-dark"": 561, ""mechanic"": 18}"
1062,🧑🏿‍🔧,"{""mechanic"": 18, ""dark"": 564}"
1063,👨‍🔧,"{""man"": 1003, ""mechanic"": 18}"
1064,👨🏻‍🔧,"{""light"": 566, ""man"": 1003, ""mechanic"": 18}"
1065,👨🏼‍🔧,"{""medium-light"": 561, ""man"": 1003, ""mechanic"": 18}"
1066,👨🏽‍🔧,"{""man"": 1003, ""mechanic"": 18, ""medium"": 566}"
1067,👨🏾‍🔧,"{""medium-dark"": 561, ""man"": 1003, ""mechanic"": 18}"
1068,👨🏿‍🔧,"{""man"": 1003, ""mechanic"": 18, ""dark"": 564}"
1069,👩‍🔧,"{""woman"": 1012, ""mechanic"": 18}"
1070,👩🏻‍🔧,"{""light"": 566, ""mechanic"": 18, ""woman"": 1012}"
1071,👩🏼‍🔧,"{""medium-light"": 561, ""mechanic"": 18, ""woman"": 1012}"
1072,👩🏽‍🔧,"{""mechanic"": 18, ""medium"": 566, ""woman"": 1012}"
1073,👩🏾‍🔧,"{""medium-dark"": 561, ""mechanic"": 18, ""woman"": 1012}"
1074,👩🏿‍🔧,"{""mechanic"": 18, ""woman"": 1012, ""dark"": 564}"
1075,🧑‍🏭,"{""worker"": 104, ""factory"": 19}"
1076,🧑🏻‍🏭,"{""worker"": 104, ""light"": 566, ""factory"": 19}"
1077,🧑🏼‍🏭,"{""worker"": 104, ""medium-light"": 561, ""factory"": 19}"
1078,🧑🏽‍🏭,"{""worker"": 104, ""factory"": 19, ""medium"": 566}"
1079,🧑🏾‍🏭,"{""worker"": 104, ""factory"": 19, ""medium-dark"": 561}"
1080,🧑🏿‍🏭,"{""worker"": 104, ""factory"": 19, ""dark"": 564}"
1081,👨‍🏭,"{""worker"": 104, ""factory"": 19, ""man"": 1003}"
1082,👨🏻‍🏭,"{""worker"": 104, ""light"": 566, ""factory"": 19, ""man"": 1003}"
1083,👨🏼‍🏭,"{""worker"": 104, ""medium-light"": 561, ""factory"": 19, ""man"": 1003}"
1084,👨🏽‍🏭,"{""worker"": 104, ""factory"": 19, ""man"": 1003, ""medium"": 566}"
1085,👨🏾‍🏭,"{""worker"": 104, ""factory"": 19, ""medium-dark"": 561, ""man"": 1003}"
1086,👨🏿‍🏭,"{""worker"": 104, ""factory"": 19, ""man"": 1003, ""dark"": 564}"
1087,👩‍🏭,"{""worker"": 104, ""factory"": 19, ""woman"": 1012}"
1088,👩🏻‍🏭,"{""worker"": 104, ""light"": 566, ""factory"": 19, ""woman"": 1012}"
1089,👩🏼‍🏭,"{""worker"": 104, ""medium-light"": 561, ""factory"": 19, ""woman"": 1012}"
1090,👩🏽‍🏭,"{""worker"": 104, ""factory"": 19, ""medium"": 566, ""woman"": 1012}"
1091,👩🏾‍🏭,"{""worker"": 104, ""factory"": 19, ""medium-dark"": 561, ""woman"": 1012}"
1092,👩🏿‍🏭,"{""worker"": 104, ""factory"": 19, ""woman"": 1012, ""dark"": 564}"
1093,🧑‍💼,"{""worker"": 104, ""office"": 21}"
1094,🧑🏻‍💼,"{""worker"": 104, ""light"": 566, ""office"": 21}"
1095,🧑🏼‍💼,"{""worker"": 104, ""medium-light"": 561, ""office"": 21}"
1096,🧑🏽‍💼,"{""worker"": 104, ""office"": 21, ""medium"": 566}"
1097,🧑🏾‍💼,"{""worker"": 104, ""office"": 21, ""medium-dark"": 561}"
1098,🧑🏿‍💼,"{""worker"": 104, ""office"": 21, ""dark"": 564}"
1099,👨‍💼,"{""worker"": 104, ""office"": 21, ""businessman"": 1, ""man"": 1003, ""ceo"": 2}"
1100,👨🏻‍💼,"{""worker"": 104, ""light"": 566, ""office"": 21, ""man"": 1003}"
1101,👨🏼‍💼,"{""worker"": 104, ""medium-light"": 561, ""office"": 21, ""man"": 1003}"
1102,👨🏽‍💼,"{""worker"": 104, ""office"": 21, ""man"": 1003, ""medium"": 566}"
1103,👨🏾‍💼,"{""worker"": 104, ""office"": 21, ""medium-dark"": 561, ""man"": 1003}"
1104,👨🏿‍💼,"{""worker"": 104, ""office"": 21, ""man"": 1003, ""dark"": 564}"
1105,👩‍💼,"{""worker"": 104, ""businesswoman"": 1, ""office"": 21, ""ceo"": 2, ""woman"": 1012}"
1106,👩🏻‍💼,"{""worker"": 104, ""light"": 566, ""office"": 21, ""woman"": 1012}"
1107,👩🏼‍💼,"{""worker"": 104, ""medium-light"": 561, ""office"": 21, ""woman"": 1012}"
1108,👩🏽‍💼,"{""worker"": 104, ""office"": 21, ""medium"": 566, ""woman"": 1012}"
1109,👩🏾‍💼,"{""worker"": 104, ""office"": 21, ""medium-dark"": 561, ""woman"": 1012}"
1110,👩🏿‍💼,"{""worker"": 104, ""office"": 21, ""woman"": 1012, ""dark"": 564}"
1111,🧑‍🔬,"{""scientist"": 18}"
1112,🧑🏻‍🔬,"{""scientist"": 18, ""light"": 566}"
1113,🧑🏼‍🔬,"{""scientist"": 18, ""medium-light"": 561}"
1114,🧑🏽‍🔬,"{""scientist"": 18, ""medium"": 566}"
1115,🧑🏾‍🔬,"{""scientist"": 18, ""medium-dark"": 561}"
