,emoji,keywords
53,🤕,"{""head-bandage"": 1, ""clumsy"": 1, ""bandaged"": 3, ""face"": 119, ""injured"": 1, ""head"": 12}"
54,🤢,"{""green"": 14, ""face"": 119, ""vomit"": 2, ""disgust"": 1, ""nauseated"": 1}"
55,🤮,"{""vomiting"": 1, ""face"": 119, ""vomit"": 2, ""spew"": 1, ""throwing"": 2}"
56,🤧,"{""gesundheit"": 1, ""face"": 119, ""sneezing"": 1}"
57,🥵,"{""face"": 119, ""hot"": 11}"
58,🥶,"{""face"": 119, ""cold"": 1}"
59,🥴,"{""face"": 119, ""drunk"": 2, ""woozy"": 1}"
60,😵,"{""crossed-out"": 1, ""spiral"": 9, ""eyes"": 19, ""face"": 119, ""cross"": 12}"
61,😵‍💫,"{""spiral"": 9, ""eyes"": 19, ""face"": 119, ""dizzy"": 2}"
62,🤯,"{""blown"": 1, ""head"": 12, ""mind"": 1, ""exploding"": 1}"
63,🤠,"{""hat"": 5, ""face"": 119, ""cowboy"": 1}"
64,🥳,"{""partying"": 1, ""face"": 119}"
65,🥸,"{""disguised"": 1, ""face"": 119}"
66,😎,"{""face"": 119, ""cool"": 2, ""sunglasses"": 3, ""mutual"": 2, ""best"": 2, ""snapchat"": 3, ""friends"": 1, ""smiling"": 20}"
67,🤓,"{""nerdy"": 1, ""nerd"": 1, ""face"": 119}"
68,🧐,"{""face"": 119, ""monocle"": 1}"
69,😕,"{""nonplussed"": 1, ""s"": 14, ""face"": 119, ""confused"": 1, ""puzzled"": 1}"
70,😟,"{""worried"": 1, ""sad"": 10, ""face"": 119, ""sadface"": 3}"
71,🙁,"{""sad"": 10, ""frowning"": 34, ""face"": 119, ""slightly"": 2}"
72,☹️,"{""megafrown"": 2, ""frowning"": 34, ""face"": 119}"
73,☹,"{""megafrown"": 2, ""frowning"": 34, ""face"": 119}"
74,😮,"{""face"": 119, ""mouth"": 11, ""open"": 15, ""surprised"": 3}"
75,😯,"{""hushed"": 1, ""surprised"": 3, ""face"": 119, ""surprise"": 1}"
76,😲,"{""shocked"": 1, ""face"": 119, ""drunk"": 2, ""astonished"": 1, ""gasping"": 1}"
77,😳,"{""blushing"": 1, ""face"": 119, ""shame"": 1, ""embarrassed"": 1, ""flushed"": 1}"
78,🥺,"{""pleading"": 1, ""simp"": 1, ""eyes"": 19, ""face"": 119, ""glossy"": 1, ""begging"": 1}"
79,😦,"{""face"": 119, ""mouth"": 11, ""open"": 15, ""frowning"": 34, ""yawning"": 2}"
80,😧,"{""anguished"": 1, ""pained"": 1, ""face"": 119}"
81,😨,"{""surprised"": 3, ""scared"": 2, ""face"": 119, ""fearful"": 1}"
82,😰,"{""nervous"": 2, ""face"": 119, ""anxious"": 1, ""blue"": 11, ""concerned"": 1, ""sweat"": 5}"
83,😥,"{""sad"": 10, ""eyebrow"": 2, ""face"": 119, ""sweat"": 5, ""relieved"": 2}"
84,😢,"{""crying"": 4, ""face"": 119, ""tear"": 2}"
85,😭,"{""sad"": 10, ""tears"": 3, ""bawling"": 1, ""face"": 119, ""sobbing"": 1, ""crying"": 4, ""loudly"": 1}"
86,😱,"{""home"": 2, ""face"": 119, ""alone"": 1, ""screaming"": 2, ""scream"": 1, ""fear"": 1}"
87,😖,"{""confounded"": 1, ""scrunched"": 2, ""face"": 119, ""mouth"": 11, ""quivering"": 1}"
88,😣,"{""eyes"": 19, ""scrunched"": 2, ""face"": 119, ""persevering"": 1, ""helpless"": 1}"
89,😞,"{""sad"": 10, ""face"": 119, ""sadface"": 3, ""disappointed"": 1}"
90,😓,"{""downcast"": 1, ""sad"": 10, ""hard"": 1, ""face"": 119, ""sweat"": 5, ""work"": 2}"
91,😩,"{""face"": 119, ""weary"": 2, ""distraught"": 1, ""wailing"": 1}"
92,😫,"{""face"": 119, ""fed"": 2, ""tired"": 1, ""exhausted"": 1}"
93,🥱,"{""face"": 119, ""yawning"": 2}"
94,😤,"{""grievances"": 1, ""mad"": 2, ""airing"": 1, ""nose"": 10, ""face"": 119, ""steam"": 5, ""from"": 1, ""steaming"": 2, ""frustrated"": 1}"
95,😡,"{""enraged"": 1, ""mad"": 2, ""face"": 119, ""angry"": 3, ""grumpy"": 3, ""red"": 49}"
96,😠,"{""angry"": 3, ""face"": 119, ""grumpy"": 3}"
97,🤬,"{""grawlix"": 1, ""swearing"": 1, ""symbols"": 2, ""face"": 119, ""mouth"": 11, ""cussing"": 1, ""cursing"": 1}"
98,😈,"{""devil"": 3, ""happy"": 13, ""face"": 119, ""purple"": 7, ""horns"": 8, ""smiling"": 20, ""red"": 49}"
99,👿,"{""sad"": 10, ""devil"": 3, ""goblin"": 2, ""face"": 119, ""purple"": 7, ""horns"": 8, ""angry"": 3}"
100,💀,"{""death"": 1, ""skull"": 3, ""skeleton"": 1, ""grey"": 1}"
101,☠️,"{""skull"": 3, ""crossbones"": 2}"
102,☠,"{""skull"": 3, ""crossbones"": 2}"
103,💩,"{""poo"": 1, ""dog"": 7, ""pile"": 2, ""poop"": 1, ""dirt"": 1, ""smiling"": 20}"
104,🤡,"{""clown"": 1, ""face"": 119}"
105,👹,"{""ogre"": 1, ""monster"": 2, ""face"": 119, ""oni"": 1, ""mask"": 4, ""red"": 49}"
106,👺,"{""long"": 3, ""goblin"": 2, ""nose"": 10, ""face"": 119, ""mask"": 4, ""tengu"": 1, ""red"": 49}"
107,👻,"{""halloween"": 2, ""ghost"": 1, ""disappear"": 1, ""ghoul"": 1}"
108,👽,"{""et"": 1, ""alien"": 2}"
109,👾,"{""video"": 5, ""monster"": 2, ""invader"": 1, ""space"": 3, ""game"": 4, ""alien"": 2}"
110,🤖,"{""robot"": 1}"
111,😺,"{""happy"": 13, ""smiling"": 20, ""grinning"": 7, ""cat"": 13}"
112,😸,"{""eyes"": 19, ""happy"": 13, ""grinning"": 7, ""cat"": 13, ""smiling"": 20}"
113,😹,"{""laughing"": 4, ""joy"": 2, ""tears"": 3, ""happy"": 13, ""cat"": 13}"
114,😻,"{""loving"": 2, ""eyes"": 19, ""heart-eyes"": 2, ""cat"": 13, ""smiling"": 20, ""heart"": 234}"
115,😼,"{""wry"": 1, ""cat"": 13, ""smirking"": 2, ""smile"": 4}"
116,😽,"{""kissing"": 8, ""cat"": 13}"
117,🙀,"{""cat"": 13, ""scared"": 2, ""weary"": 2, ""screaming"": 2}"
118,😿,"{""crying"": 4, ""cat"": 13, ""sad"": 10}"
119,😾,"{""grumpy"": 3, ""cat"": 13, ""pouting"": 31}"
120,🙈,"{""see-no-evil"": 1, ""eyes"": 19, ""monkey"": 6, ""mizaru"": 1, ""covering"": 3}"
121,🙉,"{""ears"": 7, ""hear-no-evil"": 1, ""monkey"": 6, ""kikazaru"": 1, ""covering"": 3}"
122,🙊,"{""covering"": 3, ""monkey"": 6, ""mouth"": 11, ""speaking"": 3, ""iwazaru"": 1, ""no"": 43, ""speak-no-evil"": 1}"
123,💋,"{""lips"": 3, ""kissing"": 8, ""kiss"": 206, ""mark"": 22}"
124,💌,"{""love"": 6, ""envelope"": 6, ""note"": 7, ""letter"": 3, ""heart"": 234}"
125,💘,"{""lovestruck"": 1, ""cupid"": 2, ""arrow"": 37, ""heart"": 234}"
126,💝,"{""gift"": 2, ""box"": 12, ""ribbon"": 4, ""chocolate"": 4, ""heart"": 234}"
127,💖,"{""sparkly"": 1, ""stars"": 3, ""sparkling"": 2, ""sparkle"": 3, ""heart"": 234}"
128,💗,"{""multiple"": 1, ""growing"": 1, ""triple"": 1, ""heart"": 234}"
129,💓,"{""beating"": 1, ""wifi"": 1, ""alarm"": 2, ""heartbeat"": 1, ""heart"": 234}"
130,💞,"{""hearts"": 5, ""two"": 7, ""revolving"": 1}"
131,💕,"{""hearts"": 5, ""two"": 7, ""small"": 12, ""pink"": 11}"
132,💟,"{""decoration"": 4, ""heart"": 234}"
133,❣️,"{""dot"": 3, ""exclamation"": 8, ""above"": 2, ""heart"": 234}"
134,❣,"{""dot"": 3, ""exclamation"": 8, ""above"": 2, ""heart"": 234}"
135,💔,"{""brokenhearted"": 1, ""broken"": 1, ""breaking"": 1, ""heart"": 234}"
136,❤️‍🔥,"{""fire"": 6, ""heart"": 234}"
137,❤‍🔥,"{""fire"": 6, ""heart"": 234}"
138,❤️‍🩹,"{""mending"": 2, ""healing"": 2, ""bandaged"": 3, ""unbroken"": 2, ""heart"": 234}"
139,❤‍🩹,"{""mending"": 2, ""healing"": 2, ""bandaged"": 3, ""unbroken"": 2, ""heart"": 234}"
140,❤️,"{""love"": 6, ""red"": 49, ""heart"": 234}"
141,❤,"{""love"": 6, ""red"": 49, ""heart"": 234}"
142,🧡,"{""orange"": 11, ""heart"": 234}"
